GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,UseCases.Command.Marcas.Editar,EditarMarcaHandler,0,40,0,2,0,11,0,3,0,2
Application,UseCases.Command.Marcas.Editar,EditarMarcaCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Marcas.Crear,CrearMarcaHandler,0,27,0,0,0,9,0,2,0,2
Application,UseCases.Command.Marcas.Crear,CrearMarcaCommand,0,7,0,0,0,3,0,1,0,1
Application,default,Application,0,33,0,0,0,16,0,2,0,2
Application,UseCases.Command.Asientos.UpdateAsientosWhenAeronaveCreado,UpdateAsientosWhenAeronaveCreadoHandler,0,10,0,0,0,5,0,2,0,2
Application,UseCases.Command.Marcas.Eliminar,EliminarMarcaCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Marcas.Eliminar,EliminarMarcaHandler,0,33,0,2,0,9,0,3,0,2
Application,UseCases.Queries.Aeronaves.GetAll,GetAllAeronaveQuery,0,3,0,0,0,2,0,1,0,1
Application,UseCases.Queries.Aeronaves.GetAll,GetAllAeronaveHandler,0,10,0,0,0,4,0,2,0,2
Application,UseCases.Queries.Aeronaves.GetByKey,GetAeronaveByKeyQuery,0,6,0,0,0,3,0,1,0,1
Application,UseCases.Queries.Aeronaves.GetByKey,GetAeronaveByKeyHandler,0,57,0,2,0,13,0,4,0,3
Application,UseCases.Command.Aeronaves.Eliminar,EliminarAeronaveCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Eliminar,EliminarAeronaveHandler,0,33,0,2,0,9,0,3,0,2
Application,UseCases.Queries.Marcas.GetAll,GetAllMarcaQuery,0,3,0,0,0,2,0,1,0,1
Application,UseCases.Queries.Marcas.GetAll,GetAllMarcaHandler,0,10,0,0,0,4,0,2,0,2
Application,UseCases.Queries.Marcas.GetByKey,GetMarcaByKeyQuery,0,6,0,0,0,3,0,1,0,1
Application,UseCases.Queries.Marcas.GetByKey,GetMarcaByKeyHandler,0,36,0,2,0,10,0,3,0,2
Application,UseCases.Command.Aeronaves.Editar,EditarAeronaveCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Editar,EditarAeronaveHandler,0,40,0,2,0,11,0,3,0,2
Application,Dto,AeronaveDto,0,29,0,0,0,12,0,7,0,7
Application,Dto,AsientoDto,0,36,0,0,0,16,0,8,0,8
Application,Dto,MarcaDto,0,3,0,0,0,2,0,1,0,1
Application,UseCases.Command.Aeronaves.Crear,CrearAeronaveHandler,0,29,0,0,0,10,0,2,0,2
Application,UseCases.Command.Aeronaves.Crear,CrearAeronaveCommand,0,7,0,0,0,3,0,1,0,1
